13px	18px	2005.99px	993.996px	2052	1210
8	1487698484328	translate(501.5,497)scale(0.6,0.6)translate(-1028,-546)scale(1)	translate(1504.5,497)scale(0.6,0.6)translate(-1028,-546)scale(1)
8	1487698484340	translate(501.5,497)scale(0.6,0.6)translate(-1043,-545)scale(1)	translate(1504.5,497)scale(0.6,0.6)translate(-1043,-545)scale(1)
8	1487698484400	translate(501.5,497)scale(0.6,0.6)translate(-1084,-542)scale(1)	translate(1504.5,497)scale(0.6,0.6)translate(-1084,-542)scale(1)
8	1487698484412	translate(501.5,497)scale(0.6,0.6)translate(-1093,-539)scale(1)	translate(1504.5,497)scale(0.6,0.6)translate(-1093,-539)scale(1)
8	1487698484472	translate(501.5,497)scale(0.6,0.6)translate(-1108,-531)scale(1)	translate(1504.5,497)scale(0.6,0.6)translate(-1108,-531)scale(1)
8	1487698484488	translate(501.5,497)scale(0.6,0.6)translate(-1109,-531)scale(1)	translate(1504.5,497)scale(0.6,0.6)translate(-1109,-531)scale(1)
8	1487698484536	translate(501.5,497)scale(0.6,0.6)translate(-1112,-528)scale(1)	translate(1504.5,497)scale(0.6,0.6)translate(-1112,-528)scale(1)
8	1487698484552	translate(501.5,497)scale(0.6,0.6)translate(-1112,-528)scale(1)	translate(1504.5,497)scale(0.6,0.6)translate(-1112,-528)scale(1)
9	1487698488667	translate(1003,497)scale(1,1)translate(0,0)scale(1)
10	1487698493881	translate(1003,497)scale(0.7,0.7)translate(0,0)scale(1)
11	1487698498843	translate(1003,497)scale(0.6,0.6)translate(0,0)scale(1)
11	1487698499690	translate(1003,497)scale(0.6,0.6)translate(-2,-1)scale(1)
11	1487698499718	translate(1003,497)scale(0.6,0.6)translate(-14,-10)scale(1)
11	1487698499774	translate(1003,497)scale(0.6,0.6)translate(-71,-45)scale(1)
11	1487698499790	translate(1003,497)scale(0.6,0.6)translate(-104,-57)scale(1)
11	1487698499842	translate(1003,497)scale(0.6,0.6)translate(-209,-97)scale(1)
11	1487698499862	translate(1003,497)scale(0.6,0.6)translate(-227,-103)scale(1)
11	1487698499918	translate(1003,497)scale(0.6,0.6)translate(-246,-109)scale(1)
12	1487698504149	translate(1003,497)scale(1, 1)scale(1,1)translate(-501.5, 0)translate(0,0)scale(1)	translate(1003,497)scale(-1, 1)scale(1,1)translate(-501.5, 0)translate(0,0)scale(1)
12	1487698505044	translate(1003,497)scale(1, 1)scale(1,1)translate(-501.5, 0)translate(3,0)scale(1)	translate(1003,497)scale(-1, 1)scale(1,1)translate(-501.5, 0)translate(3,0)scale(1)
12	1487698505092	translate(1003,497)scale(1, 1)scale(1,1)translate(-501.5, 0)translate(92,-61)scale(1)	translate(1003,497)scale(-1, 1)scale(1,1)translate(-501.5, 0)translate(92,-61)scale(1)
12	1487698505108	translate(1003,497)scale(1, 1)scale(1,1)translate(-501.5, 0)translate(164,-91)scale(1)	translate(1003,497)scale(-1, 1)scale(1,1)translate(-501.5, 0)translate(164,-91)scale(1)
12	1487698505164	translate(1003,497)scale(1, 1)scale(1,1)translate(-501.5, 0)translate(437,-168)scale(1)	translate(1003,497)scale(-1, 1)scale(1,1)translate(-501.5, 0)translate(437,-168)scale(1)
12	1487698505196	translate(1003,497)scale(1, 1)scale(1,1)translate(-501.5, 0)translate(471,-172)scale(1)	translate(1003,497)scale(-1, 1)scale(1,1)translate(-501.5, 0)translate(471,-172)scale(1)
